CarrierCode,AgentCode,PolicyNumber,ClaimNumber,LossDate,ReportDate,ClaimStatus,CauseOfLoss,LossLocation,PaidLossAmount,PaidExpenseAmount,ReserveLossAmount,ReserveExpenseAmount,CloseDate,ReopenDate,AdjusterContact
PRGS,120072,KWA1861900,2025-000001,2025-04-01,2025-04-01,Closed,Comprehensive Theft,"777 Lawrence Crescent, Castrostad, SC 64057",2524.53,430.17,0.0,0.0,2025-05-24,,"A. Ruiz, 001-990-872-5308x09173"
ALLS,120092,GJX1158895,2025-000002,2025-04-01,2025-04-02,Closed,Collision,"732 Ford Glen, Hamiltonberg, ND 62171",280.9,82.57,0.0,0.0,2025-06-20,,"L. Brady, 788-967-1323x02086"
HART,120056,USC1734693,2025-000003,2025-04-06,2025-04-07,Open,Glass,"8650 Whitney Walk Suite 019, Cindyton, ND 84266",603.98,215.41,972.95,112.34,,,"E. Garcia, +1-788-420-9336"
TRAV,120046,CLD8519277,2025-000004,2025-04-06,2025-04-08,Closed,Water (non-flood),"9955 Brenda Mall, Hamiltonmouth, DC 08547",7735.49,1290.35,0.0,0.0,2025-06-28,,"P. Beasley, +1-424-853-1500"
PRGS,120178,KFM1433169,2025-000005,2025-04-06,2025-04-08,Closed,Weather,"5585 Katelyn Highway, Martinezchester, DE 55493",3599.82,593.07,0.0,0.0,2025-05-23,,"M. Griffin, (494)213-9968x6039"
TRAV,120242,MWS4875914,2025-000006,2025-04-07,2025-04-07,Open,Water,"8556 Kathleen Roads Apt. 646, Jenniferville, AK 99716",4234.8,2110.67,8714.18,610.91,,,"B. Cox, (853)916-7396x149"
LIBM,120078,HAE5580723,2025-000007,2025-04-07,2025-04-08,Closed,Fire,"118 Joseph Junction Suite 340, North Daniel, NC 66546",14645.38,3597.99,0.0,0.0,2025-06-23,,"K. Smith, (392)230-7730"
ALLS,120151,SYG2500631,2025-000008,2025-04-08,2025-04-08,Closed,Strain/Sprain,"84270 Yvonne Stream, Alvarezmouth, DC 17664",68710.89,11336.96,0.0,0.0,2025-05-19,,"T. Powers, 001-978-702-0082"
TRAV,120246,RCY5789683,2025-000009,2025-04-10,2025-04-10,Closed,Weather,"9919 Smith Trail, South Angelabury, VI 81796",693.56,89.36,0.0,0.0,2025-05-26,,"P. Herrera, 476.980.9295x6037"
TRAV,120204,EXJ0813092,2025-000010,2025-04-12,2025-04-12,Open,Excess GL,"61381 Jessica Lodge Apt. 601, Port Matthewburgh, MT 23129",26627.56,12806.71,45711.62,5138.49,,,"C. Owens, 248-852-6911"
TRAV,120133,ZSV1455708,2025-000011,2025-04-13,2025-04-18,Closed,Glass,"84488 Cooper Motorway Suite 678, Gracechester, MT 94189",1772.69,433.23,0.0,0.0,2025-07-20,,"E. Price, 001-221-432-5799x66230"
NATI,120267,RLS8394673,2025-000012,2025-04-15,2025-04-16,Closed,GL Prem/Ops,"234 Spencer View Suite 864, Heathhaven, NM 70269",5432.25,776.84,0.0,0.0,2025-06-01,,"R. Johnson, 663.736.8097"
ALLS,120005,HYA5282421,2025-000013,2025-04-16,2025-04-17,Closed,Water (non-flood),"292 Hughes Run, Jeffersonstad, MO 84994",4628.52,1561.95,0.0,0.0,2025-06-30,,"D. Bauer, (339)956-5471"
PRGS,120119,DHS2641000,2025-000014,2025-04-17,2025-04-19,Closed,Glass,"68616 Michael Lights Suite 245, Lake Danielleside, AK 71462",938.14,203.66,0.0,0.0,2025-06-14,,"M. West, 379.825.8601x707"
CHUB,120291,TWP6673449,2025-000015,2025-04-17,2025-04-17,Closed,Wind/Hail,"7639 Sosa Trail Apt. 598, Robinsonstad, FM 17616",13407.73,2144.0,0.0,0.0,2025-05-25,,"A. Pope, (240)256-0541"
NATI,120264,PZY4147719,2025-000016,2025-04-18,2025-04-20,Open,Comprehensive Theft,"4167 Mary View, Steelemouth, OK 06245",290.88,71.15,850.08,46.53,,,"M. Holland, +1-283-472-9297x02412"
AMFA,120214,FPG7258879,2025-000017,2025-04-18,2025-04-18,Closed,Liability BI/PD,"4799 Teresa Flats Suite 615, Jasonburgh, WA 49394",1396.22,218.32,0.0,0.0,2025-06-13,,"V. Perez, 669.463.9332x4143"
LIBM,120196,GBE9879779,2025-000018,2025-04-19,2025-04-24,Closed,Collision,"54509 Anthony Radial Apt. 531, New Cheryltown, RI 97405",4590.48,919.84,0.0,0.0,2025-05-18,,"A. Robinson, 462.586.7749"
FARM,120132,UEW3265197,2025-000019,2025-04-19,2025-04-19,Closed,Excess HO,"6062 Holly Green, Jonesbury, DE 68928",14924.69,4270.22,0.0,0.0,2025-05-14,,"R. Ruiz, +1-305-371-2904"
GEIC,120177,KGR9492691,2025-000020,2025-04-21,2025-04-21,Closed,Collision,"56086 Hunt Unions Apt. 538, East Chaseport, NH 54544",1181.77,59.09,0.0,0.0,2025-05-28,,"A. Baker, 489-449-3663x08049"
