PolicyNumber,CarrierCode,AgentCode,TransactionType,PolicyEffectiveDate,PolicyExpirationDate,TransactionEffectiveDate,TermLengthMonths,LineOfBusiness,Subline,InsuredName,InsuredPrimaryEmail,RiskLocationAddress,State,InsuredMailingAddress,RatedDriverCount,VehicleCount,DwellingYearBuilt,ConstructionType,ProtectionClass,Limit_BI,Limit_PD,Deductible_Collision,Deductible_Comprehensive,TermPremium,WrittenPremium,EarnedPremium,BillingPlan,CancellationDate,ReinstatementDate,RewriteIndicator,eDocIndicator,UnearnedPremium
BVN7537617,TRAV,120192,Endorsement,4/1/2025,4/1/2026,4/29/2025,12,Umbrella,Personal Umbrella,Kevin Perez,kevin.perez@example.com,"882 Jennifer Lock, South Catherinemouth, VI 69218",VI,"882 Jennifer Lock, South Catherinemouth, VI 69218",,,,,,,,,,358.39,-5.46,269.04,Agency Bill,,,FALSE,TRUE,89.35
LEK5069502,TRAV,120223,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,David Schmidt,david.schmidt@customer.net,"9987 Ryan Rapid Apt. 328, North Walter, HI 19151",HI,"9987 Ryan Rapid Apt. 328, North Walter, HI 19151",2,1,,,,50/100,100000,1000,500,1269.61,1269.61,953.08,Direct Bill,,,FALSE,TRUE,316.53
HEX8534092,TRAV,120241,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Darrell Barr,darrell.barr@policyhub.org,"88773 Holly Meadow, Alecborough, MO 96883",MO,"498 Jennifer Squares Apt. 066, East Alexa, OH 85375",,,1993,Frame,6,,,,,3221.99,3221.99,2418.7,Direct Bill,,,FALSE,TRUE,803.29
DFK5066287,ALLS,120176,Renewal,4/1/2025,4/1/2026,4/1/2025,12,WC,Workers Compensation,Jessica Gutierrez,jessica.gutierrez@policyhub.org,"1423 Jacob Tunnel, Floresmouth, KY 80002",KY,"224 Olson Port, Riddlehaven, PA 79856",,,,,,,,,,5287.49,5287.49,3969.24,Agency Bill,,,FALSE,TRUE,1318.25
HFV6294771,ALLS,120174,Cancel,4/1/2025,10/18/2025,10/18/2025,12,Package,Commercial Package,Pam Garcia,pam.garcia@insmail.com,"734 Walker Meadows, South John, UT 82181",UT,"734 Walker Meadows, South John, UT 82181",,,,Frame,6,,,,,4412.36,0,4412.36,Direct Bill,11/12/2023,,FALSE,TRUE,0
XPK1706867,PRGS,120267,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Kristy Hudson,kristy.hudson@customer.net,"9171 Travis Extensions, North Joshua, FM 06564",FM,"9171 Travis Extensions, North Joshua, FM 06564",2,3,,,,50/100,100000,500,250,4000,4000,3002.74,Direct Bill,,,FALSE,TRUE,997.26
TDK3284508,PRGS,120075,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Michael Brown,michael.brown@customer.net,"09560 Mitchell Islands Suite 932, Vargasburgh, MI 91597",MI,"09560 Mitchell Islands Suite 932, Vargasburgh, MI 91597",,,,Non-Combustible,10,,,,,9423.16,9423.16,7073.82,Agency Bill,,,FALSE,FALSE,2349.34
RUX0992625,ALLS,120163,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Luke Rios,luke.rios@mail.com,"53577 Knapp Rue, Jennifershire, GA 85436",GA,"66814 Anthony Valley, New Richardville, HI 96076",,,1998,Frame,6,,,,,1636.2,1636.2,1228.27,Agency Bill,,,FALSE,TRUE,407.93
WYN9779813,AMFA,120192,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Kevin Wilson,kevin.wilson@customer.net,"1939 Robert Knoll, North Vickie, KY 69933",KY,"1939 Robert Knoll, North Vickie, KY 69933",1,1,,,,50/100,100000,500,500,683.65,683.65,513.21,Direct Bill,,,FALSE,TRUE,170.44
RGR7818730,AMFA,120219,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Umbrella,Personal Umbrella,Thomas Valenzuela,thomas.valenzuela@insmail.com,"44595 Melanie Vista Suite 157, Brianport, AL 09017",AL,"44595 Melanie Vista Suite 157, Brianport, AL 09017",,,,,,,,,,231.68,231.68,173.92,Direct Bill,,,FALSE,TRUE,57.76
